time,y1,y2
08:21:52.485, 1,29.88901
08:21:53.538, 1,31.92901
08:21:56.450, 1,25.54546
08:21:59.182, 1,42.82901
08:22:00.486, 1,45.32901
08:22:07.697, 2,39.03543
08:22:07.838, 1,47.52546
08:22:09.911, 1,27.48003
08:22:10.736, 1,53.10546
08:22:12.512, 2,56.93901
08:22:13.411, 1,46.26185
08:22:14.006, 2,48.42723
08:22:14.039, 2,51.66901
08:22:14.379, 2,62.61724
08:22:14.511, 2,53.95546
08:22:14.738, 3,38.23697
08:22:14.969, 3,62.32234
08:22:17.058, 4,47.98997
08:22:18.150, 2,30.61447
08:22:18.356, 4,60.68222
08:22:18.566, 2,29.80999
08:22:19.932, 3,65.35331
08:22:20.713, 1,36.27994
08:22:20.713, 3,58.54783
08:22:21.336, 3,44.91147
08:22:22.668, 2,49.16094
08:22:22.918, 1,88.56902
08:22:23.905, 5,66.64358
08:22:25.213, 3,30.86732
08:22:25.843, 3,56.18124
08:22:25.963, 3,51.44362
08:22:26.388, 5,47.84397
08:22:26.566, 4,59.75883
08:22:27.642, 4,35.56048
08:22:30.592, 2,71.95448
08:22:31.156, 5,67.93049
08:22:31.288, 4,61.85574
08:22:31.632, 6,66.64217
08:22:31.915, 5,44.82875
08:22:32.423, 6,51.05416
08:22:34.118, 3,80.65813
08:22:34.312, 6,45.77096
08:22:35.633, 1,40.99884
08:22:36.084, 2,51.11993
08:22:36.945, 4,52.47821
08:22:37.020, 7,72.83273
08:22:37.536, 7,45.61495
08:22:37.998, 4,62.55094
08:22:38.167, 4,69.51499
08:22:38.671, 6,73.34076
08:22:40.503, 8,69.62788
08:22:43.465, 3,52.76624
08:22:43.705, 9,76.4988
08:22:43.913, 5,66.8623
08:22:45.332, 5,74.14912
08:22:46.078, 10,74.78877
08:22:46.301, 6,61.11832
08:22:46.821, 4,70.21104
08:22:46.976, 7,66.80486
08:22:47.062, 2,33.8921
08:22:49.738, 7,62.10063
08:22:50.131, 11,74.92828
08:22:52.338, 6,87.59402
08:22:52.794, 3,25.5578
08:22:52.978, 8,61.66078
08:22:53.332, 12,79.43725
08:22:53.823, 5,74.09844
08:22:54.151, 4,92.68909
08:22:54.397, 5,102.9118
08:22:55.997, 8,78.00014
08:22:56.923, 6,91.95401
08:22:57.361, 5,70.20478
08:22:57.580, 4,42.38366
08:22:59.377, 9,62.76418
08:23:00.620, 5,91.81653
08:23:00.869, 13,73.29084
08:23:04.299, 14,84.1106
08:23:04.379, 6,83.27474
08:23:04.848, 3,30.68701
08:23:05.278, 10,68.29221
08:23:05.332, 6,63.24912
08:23:07.318, 8,114.8719
08:23:07.448, 7,82.08685
08:23:07.634, 7,69.96642
08:23:07.793, 15,82.13001
08:23:08.231, 7,103.5474
08:23:08.690, 11,81.48021
08:23:10.081, 16,82.49817
08:23:10.983, 8,64.69586
08:23:11.504, 9,113.1942
08:23:11.662, 5,36.77563
08:23:12.069, 7,60.28272
08:23:13.184, 9,69.18939
08:23:14.166, 17,92.33383
08:23:14.205, 9,69.92659
08:23:15.247, 8,64.26839
08:23:15.427, 12,93.6161
08:23:15.539, 10,78.27162
08:23:17.532, 10,124.2307
08:23:18.323, 4,53.90017
08:23:20.642, 11,85.2688
08:23:20.694, 7,87.57159
08:23:20.820, 5,59.23824
08:23:22.684, 9,75.41795
08:23:23.008, 6,36.38175
08:23:23.097, 8,86.60315
08:23:23.428, 11,122.2747
08:23:25.647, 8,89.18744
08:23:28.503, 10,89.16304
08:23:29.718, 10,94.34069
08:23:30.601, 8,124.9202
08:23:31.710, 13,116.9302
08:23:32.165, 9,89.13769
08:23:32.440, 7,29.95825
08:23:33.187, 6,82.26339
08:23:33.525, 12,113.7271
08:23:34.444, 11,98.23147
08:23:35.520, 18,114.0606
08:23:35.569, 14,119.942
08:23:36.152, 9,106.6072
08:23:37.673, 10,91.78781
08:23:38.097, 15,135.0336
08:23:38.672, 8,29.78903
08:23:39.986, 11,119.567
08:23:41.730, 9,52.61312
08:23:43.434, 10,107.6699
08:23:44.959, 10,72.67677
08:23:46.450, 11,99.66886
08:23:48.245, 19,132.0583
08:23:50.855, 9,141.6918
08:23:53.269, 13,117.9123
08:23:55.629, 16,143.7761
08:23:57.074, 12,103.6662
08:23:57.613, 11,119.0722
08:23:58.224, 17,149.9628
08:23:58.880, 6,103.5001
08:23:58.929, 10,120.9129
08:24:00.655, 14,153.5561
08:24:02.360, 11,80.37302
08:24:02.781, 7,137.0192
08:24:02.918, 13,113.286
08:24:04.876, 11,106.2451
08:24:05.082, 12,121.0441
08:24:08.174, 12,71.88493
08:24:08.267, 15,211.4305
08:24:09.506, 14,112.5968
08:24:09.613, 7,100.9876
08:24:10.279, 12,108.0024
08:24:10.451, 18,127.2305
08:24:10.516, 12,136.2596
08:24:10.890, 8,147.9087
08:24:13.313, 20,88.28177
08:24:13.554, 16,181.8232
08:24:13.626, 8,114.4716
08:24:14.487, 19,89.5294
08:24:14.920, 9,122.3191
08:24:16.709, 13,128.9322
08:24:17.144, 20,105.9592
08:24:17.586, 10,110.6642
08:24:18.573, 13,153.1919
08:24:20.737, 15,124.9241
08:24:21.749, 17,169.3136
08:24:22.040, 12,126.9798
08:24:22.301, 11,119.8273
08:24:25.209, 14,146.0986
08:24:28.305, 16,123.5595
08:24:28.910, 15,160.0359
08:24:30.445, 12,133.4065
08:24:30.974, 21,113.3958
08:24:31.016, 14,147.0663
08:24:33.818, 15,166.2711
08:24:35.528, 9,143.4172
08:24:35.766, 16,173.1319
08:24:37.026, 17,129.9558
08:24:38.145, 13,147.5432
08:24:39.753, 21,96.35336
08:24:40.216, 17,183.2009
08:24:40.813, 10,166.1692
08:24:42.014, 12,140.071
08:24:42.041, 13,125.7297
08:24:43.712, 13,84.42387
08:24:44.379, 18,138.7895
08:24:45.132, 16,181.0899
08:24:45.392, 13,113.5524
08:24:46.259, 22,97.88647
08:24:46.722, 14,132.3162
08:24:47.707, 19,145.5842
08:24:48.330, 17,189.138
08:24:49.257, 18,129.3942
08:24:49.540, 14,133.7349
08:24:52.042, 20,169.8339
08:24:52.104, 18,195.3514
08:24:52.706, 15,124.6576
08:24:53.649, 19,139.6092
08:24:54.408, 23,161.3545
08:24:56.230, 14,211.0576
08:24:56.758, 18,180.9359
08:24:57.507, 22,112.7125
08:24:57.785, 16,146.1781
08:24:59.681, 14,142.975
08:25:00.611, 19,188.6761
08:25:00.950, 13,150.208
08:25:01.574, 17,136.0752
08:25:02.374, 20,137.9839
