time,y1,y2
10:16:39.457, 1,24.19819
10:16:39.632, 1,24.53819
10:16:47.011, 2,31.48819
10:16:48.989, 1,30.59789
10:16:53.133, 3,37.85819
10:16:55.268, 2,36.65789
10:16:56.336, 4,36.5863
10:16:59.716, 2,31.9144
10:17:01.942, 3,31.80549
10:17:04.875, 4,33.16603
10:17:07.830, 5,39.9244
10:17:10.338, 1,59.79061
10:17:12.149, 3,41.53448
10:17:16.025, 6,51.57235
10:17:17.684, 7,55.30539
10:17:20.098, 4,53.5444
10:17:22.379, 8,55.83634
10:17:22.792, 5,47.73029
10:17:24.018, 9,55.12172
10:17:26.719, 10,55.15257
10:17:30.968, 5,64.50579
10:17:31.446, 2,62.15498
10:17:32.360, 11,56.81751
10:17:37.218, 12,66.27304
10:17:39.357, 6,68.32417
10:17:42.234, 7,69.32637
10:17:45.022, 8,72.40968
10:17:47.538, 6,65.69312
10:17:48.006, 13,62.98713
10:17:53.114, 7,75.24047
10:17:55.178, 8,84.06785
10:17:55.342, 14,66.48384
10:17:59.470, 9,89.69968
10:18:00.131, 3,80.19177
10:18:02.813, 9,77.215
10:18:06.038, 15,76.50053
10:18:08.565, 10,79.39949
10:18:10.575, 16,74.58728
10:18:12.494, 17,78.81331
10:18:16.213, 11,89.35593
10:18:18.037, 4,89.13509
10:18:21.756, 5,101.2905
10:18:22.543, 12,95.7963
10:18:24.566, 10,99.96946
10:18:26.992, 18,86.66722
10:18:29.064, 19,85.27046
10:18:31.841, 6,93.68171
10:18:35.684, 7,102.3785
10:18:38.350, 11,114.3075
10:18:40.183, 12,113.92
10:18:41.798, 8,107.556
10:18:44.586, 13,109.2171
10:18:46.867, 13,108.6239
10:18:50.390, 14,104.4059
10:18:52.535, 9,116.0715
10:18:54.723, 20,83.75225
10:18:58.264, 14,116.8362
10:18:59.488, 15,103.2156
10:19:02.097, 16,100.7685
10:19:04.513, 21,127.2124
10:19:07.238, 10,139.0129
10:19:09.313, 22,136.7363
10:19:11.778, 11,128.0493
10:19:11.975, 23,123.4366
10:19:16.049, 12,135.1783
10:19:19.341, 13,141.0862
10:19:21.093, 14,143.5864
10:19:22.908, 15,129.8066
10:19:26.762, 17,107.7707
10:19:28.305, 18,112.0027
10:19:29.819, 16,119.3518
10:19:31.613, 24,123.1057
10:19:33.023, 17,129.821
10:19:34.038, 19,111.2213
10:19:34.910, 18,126.4597
10:19:37.437, 15,140.7155
10:19:41.914, 19,127.0309
10:19:42.928, 16,140.9227
10:19:45.622, 20,111.5315
10:19:47.891, 21,123.7691
10:19:50.015, 22,130.4904
10:19:52.844, 17,127.5009
10:19:54.305, 25,93.87131
10:19:57.455, 26,98.69946
10:19:59.115, 23,124.5268
10:20:02.958, 18,131.8795
10:20:03.444, 20,132.0916
10:20:08.597, 24,129.2867
10:20:10.371, 21,131.5298
10:20:12.239, 25,128.5635
10:20:12.627, 19,127.5044
10:20:16.453, 20,119.0963
10:20:19.881, 27,97.92963
10:20:19.959, 21,108.9541
10:20:25.572, 22,139.5952
10:20:27.196, 23,140.858
10:20:29.501, 24,140.1
10:20:31.809, 28,114.6462
10:20:33.446, 25,139.9629
10:20:34.792, 29,106.6224
10:20:39.062, 22,94.72379
10:20:39.198, 26,132.4883
10:20:40.243, 26,101.0157
10:20:42.763, 27,121.9152
10:20:46.606, 23,111.4037
10:20:48.401, 24,127.1007
10:20:51.925, 27,110.1525
10:20:54.059, 28,114.1682
10:20:55.621, 29,107.6198
10:20:57.705, 28,109.6601
10:21:00.049, 25,128.1285
10:21:03.238, 29,88.57573
10:21:05.199, 30,74.49115
10:21:09.376, 30,93.44751
10:21:10.752, 31,99.58206
10:21:11.000, 31,106.9873
10:21:15.043, 30,118.4034
10:21:17.996, 26,105.3329
10:21:19.664, 27,84.62137
10:21:21.602, 32,111.6266
10:21:23.291, 33,109.9991
10:21:26.471, 34,104.4785
10:21:26.806, 31,108.7475
10:21:31.240, 35,119.58
10:21:31.343, 32,141.5964
10:21:32.939, 32,140.6083
10:21:37.705, 33,133.484
10:21:38.182, 28,89.58051
10:21:40.214, 29,87.00675
10:21:43.811, 33,180.8076
10:21:45.425, 34,177.7916
10:21:47.913, 36,127.8502
10:21:52.856, 35,156.0035
10:21:53.820, 37,114.4007
10:21:54.441, 36,141.1423
10:21:59.986, 30,106.2535
10:22:00.483, 38,131.3869
10:22:02.223, 34,149.6153
10:22:05.357, 39,102.2961
10:22:08.688, 31,97.98026
10:22:10.472, 32,92.28674
10:22:13.363, 40,113.156
10:22:14.906, 37,122.9154
10:22:18.596, 35,113.8299
10:22:21.310, 38,116.6236
10:22:22.029, 33,106.456
10:22:25.819, 39,141.8126
10:22:27.322, 34,109.6002
10:22:27.921, 41,118.9735
10:22:29.239, 35,107.9508
10:22:33.385, 36,98.94209
10:22:36.193, 36,98.74585
10:22:38.389, 40,129.9778
10:22:40.949, 41,121.4632
10:22:42.741, 42,151.5716
10:22:44.647, 43,159.0984
10:22:46.203, 42,125.9771
10:22:49.602, 37,120.7249
10:22:52.245, 44,140.5935
10:22:52.928, 43,116.3385
10:22:54.885, 37,99.52426
10:22:57.093, 45,138.8365
10:22:58.431, 44,114.5595
10:23:00.338, 46,141.7456
10:23:02.474, 38,91.98401
10:23:04.958, 45,121.5734
10:23:05.197, 39,106.7202
10:23:08.141, 47,133.0809
10:23:09.508, 38,122.5386
10:23:11.093, 46,123.2221
10:23:14.088, 47,121.5255
10:23:14.793, 40,96.68571
10:23:17.973, 48,106.2862
10:23:21.799, 48,110.8534
10:23:22.617, 49,103.0279
10:23:26.399, 50,118.4003
10:23:27.271, 39,123.0668
10:23:31.581, 41,117.6572
10:23:32.545, 51,111.4381
10:23:33.560, 49,109.9026
10:23:35.043, 52,106.9654
10:23:35.819, 50,107.6487
10:23:38.077, 42,102.3645
10:23:42.305, 40,159.1718
10:23:42.338, 53,115.4494
10:23:45.405, 41,150.2937
10:23:47.343, 43,119.3023
10:23:50.720, 54,112.2847
10:23:51.437, 44,109.7531
10:23:55.740, 42,132.0713
10:23:56.264, 45,101.0867
10:23:59.487, 51,87.39852
10:24:03.488, 43,119.5086
10:24:05.528, 44,115.7106
10:24:06.263, 55,105.0378
10:24:10.045, 56,116.3878
10:24:12.162, 52,101.5735
10:24:13.954, 57,105.1311
10:24:17.426, 53,97.82355
10:24:18.980, 54,93.69746
10:24:20.058, 45,91.20247
10:24:24.846, 46,118.8888
10:24:27.456, 55,105.4357
10:24:27.695, 46,113.0654
10:24:32.492, 58,110.2818
10:24:34.213, 56,110.9394
10:24:36.098, 47,104.1422
10:24:38.865, 59,130.2044
10:24:42.275, 60,112.5217
10:24:45.010, 48,119.5075
10:24:47.135, 49,125.2014
10:24:48.130, 47,154.6255
10:24:51.012, 57,123.9988
10:24:53.385, 50,135.6632
10:24:55.861, 61,112.7825
10:24:58.689, 48,114.0155
10:25:01.073, 58,100.7788
10:25:02.038, 51,117.2089
10:25:04.598, 62,101.079
10:25:08.626, 49,132.3229
10:25:09.240, 59,124.0981
10:25:10.970, 60,129.8475
10:25:15.911, 61,130.4033
10:25:17.446, 52,116.9626
10:25:17.611, 50,127.2159
10:25:21.912, 51,117.4015
10:25:22.214, 62,126.7252
10:25:23.663, 52,111.9227
10:25:24.762, 63,88.99906
10:25:26.938, 64,90.99576
10:25:30.773, 53,130.7841
10:25:32.233, 53,129.5954
10:25:34.743, 63,143.7029
10:25:37.529, 65,106.2859
10:25:39.591, 66,102.1335
10:25:41.964, 67,98.1521
10:25:43.552, 68,110.5615
10:25:44.015, 54,131.324
10:25:46.680, 54,128.5311
10:25:49.019, 69,105.0296
10:25:52.140, 55,132.2195
10:25:52.689, 64,131.6316
10:25:54.699, 65,123.2713
10:25:59.790, 70,113.5246
10:26:01.510, 71,117.1672
10:26:02.813, 66,114.5982
10:26:06.235, 72,114.5859
10:26:06.867, 55,79.30145
10:26:08.430, 56,78.00659
10:26:11.158, 57,75.67169
10:26:14.730, 67,114.8337
10:26:16.329, 68,123.7943
10:26:18.980, 69,128.3811
10:26:21.135, 73,126.2744
10:26:22.835, 74,123.6407
10:26:25.373, 56,94.49048
10:26:29.145, 57,92.12701
10:26:29.736, 58,76.84601
10:26:33.129, 59,84.75273
10:26:35.903, 58,108.674
10:26:37.176, 75,115.9218
10:26:40.149, 59,112.9947
10:26:41.933, 60,113.6083
10:26:45.106, 60,95.25961
10:26:47.074, 70,131.0825
10:26:49.196, 61,107.0715
10:26:51.933, 62,101.4412
10:26:55.447, 76,97.33325
10:26:58.412, 71,117.7361
10:26:59.747, 77,107.881
10:26:59.778, 61,107.0645
10:27:05.540, 63,110.3053
10:27:06.494, 72,120.4338
10:27:08.627, 78,95.57694
10:27:10.764, 79,103.3623
10:27:11.476, 62,107.2604
10:27:13.116, 63,100.4359
10:27:13.745, 64,95.61487
10:27:15.000, 64,94.66792
10:27:20.752, 65,115.0313
10:27:20.969, 80,117.4976
10:27:22.419, 73,147.1875
10:27:25.571, 65,116.3293
10:27:28.731, 74,132.5152
10:27:30.597, 81,121.0295
10:27:34.161, 66,101.5293
10:27:35.642, 66,130.2859
10:27:37.995, 75,107.1406
10:27:41.820, 67,108.5723
10:27:42.606, 67,129.2906
10:27:44.170, 68,126.0799
10:27:48.390, 76,111.3643
10:27:50.959, 69,124.6526
10:27:52.639, 77,106.7946
10:27:55.134, 68,100.0218
10:27:57.119, 69,93.2984
10:27:59.595, 70,87.82002
10:28:04.192, 71,107.9925
10:28:04.618, 70,136.2254
10:28:06.907, 71,133.2895
10:28:10.533, 72,115.6906
10:28:10.555, 72,129.2728
10:28:14.307, 82,94.59509
10:28:16.503, 73,123.4417
10:28:19.352, 78,97.62479
10:28:21.365, 83,83.39856
10:28:25.374, 73,119.8558
10:28:27.124, 74,132.9969
10:28:28.038, 74,133.9677
10:28:31.933, 84,94.3739
10:28:32.990, 75,149.925
10:28:35.237, 79,81.66852
10:28:39.187, 75,126.3371
