time,y1,y2
09:14:44.106, 20,2
09:14:44.310, 20,2
09:14:45.914, 20,3
09:14:46.115, 20,3
09:14:47.716, 20,4
09:14:47.919, 20,4
09:14:49.520, 20,5
09:14:49.721, 20,5
09:14:52.091, 20,6
09:14:52.549, 20,6
09:14:56.831, 20,7
09:14:56.844, 20,7
09:15:02.823, 20,8
09:15:02.871, 20,8
09:15:07.719, 20,9
09:15:08.599, 20,9
09:15:13.522, 20,10
09:15:15.224, 20,10
09:15:16.036, 1,1
09:15:16.036, 1,1
09:15:18.565, 20,10
09:15:20.207, 20,9
09:15:22.331, 20,9
09:15:24.697, 20,8
09:15:28.253, 20,8
09:15:28.958, 20,7
09:15:36.258, 20,7
09:15:37.451, 20,7
09:15:43.953, 20,7
09:15:46.569, 20,6
09:15:49.268, 20,7
09:15:50.270, 20,6
09:15:52.052, 1,1
09:15:52.052, 1,1
09:15:55.343, 20,7
09:15:55.503, 20,6
09:15:59.873, 20,7
09:16:01.048, 20,6
09:16:03.626, 20,7
09:16:07.853, 20,6
09:16:08.321, 20,7
09:16:14.490, 20,7
09:16:14.978, 20,6
09:16:19.990, 20,7
09:16:24.685, 20,6
09:16:27.084, 20,7
09:16:28.069, 1,1
09:16:28.070, 1,1
09:16:31.405, 20,6
09:16:31.526, 20,7
09:16:35.295, 20,8
09:16:37.133, 20,5
09:16:39.691, 20,7
09:16:43.315, 20,6
09:16:44.119, 20,8
09:16:51.203, 20,7
09:16:53.797, 20,5
09:17:01.911, 20,5
09:17:03.518, 20,6
09:17:04.105, 1,1
09:17:04.106, 1,1
09:17:09.413, 20,5
09:17:11.528, 20,5
09:17:17.300, 20,5
09:17:20.110, 20,5
09:17:24.071, 20,5
09:17:27.877, 20,4
09:17:34.241, 20,5
09:17:35.992, 20,5
09:17:40.120, 1,1
09:17:40.121, 1,1
09:17:42.032, 20,5
09:17:44.311, 20,5
09:17:51.517, 20,5
09:17:54.252, 20,5
09:17:58.224, 20,5
09:18:00.519, 20,5
09:18:09.331, 20,5
09:18:09.571, 20,5
09:18:16.135, 1,1
09:18:16.135, 1,1
09:18:17.962, 20,5
09:18:18.369, 20,5
09:18:25.823, 20,5
09:18:26.832, 20,5
09:18:34.647, 20,5
09:18:36.307, 20,4
09:18:43.591, 20,5
09:18:47.671, 20,4
09:18:51.633, 20,5
09:18:52.152, 1,1
09:18:52.152, 1,1
09:18:54.769, 20,4
09:18:59.821, 20,5
09:19:02.848, 20,4
09:19:08.573, 20,5
