time,y1,y2
08:45:29.058, 1,27.68032
08:45:32.958, 1,32.07981
08:45:38.132, 1,39.10761
08:45:40.654, 1,42.65966
08:45:40.795, 2,42.06375
08:45:44.468, 3,40.58901
08:45:49.201, 4,39.82864
08:45:53.165, 2,52.31958
08:45:56.210, 5,44.69787
08:45:57.440, 2,47.21877
08:46:00.617, 3,47.06789
08:46:00.747, 6,44.70753
08:46:03.499, 4,53.39794
08:46:03.967, 3,41.51658
08:46:08.948, 4,59.10189
08:46:09.115, 2,30.71832
08:46:13.846, 3,58.45609
08:46:17.760, 4,69.20368
08:46:21.759, 5,61.83994
08:46:24.493, 6,56.73883
08:46:24.962, 5,68.39619
08:46:30.043, 6,76.17949
08:46:33.345, 7,41.90165
08:46:36.306, 7,83.75923
08:46:40.332, 8,86.27814
08:46:42.644, 5,120.1197
08:46:42.994, 9,77.75246
08:46:46.861, 8,73.02873
08:46:49.106, 6,78.72301
08:46:49.752, 9,89.83376
08:46:53.307, 7,49.77121
08:46:58.134, 8,59.73209
08:47:03.835, 10,84.30762
08:47:07.842, 11,72.55432
08:47:11.639, 12,79.67086
08:47:14.301, 13,70.10786
08:47:19.056, 14,96.96671
08:47:23.187, 15,89.82209
08:47:27.028, 10,130.1961
08:47:28.494, 16,84.26389
08:47:29.549, 7,44.6964
08:47:33.740, 8,100.0171
08:47:36.741, 11,137.3481
08:47:38.072, 17,90.67339
08:47:42.489, 9,84.7544
08:47:47.147, 18,85.58693
08:47:49.499, 10,101.7149
08:47:53.955, 9,149.1591
08:47:55.818, 19,70.19775
08:47:56.739, 10,99.5719
08:48:00.462, 20,68.2114
08:48:01.037, 11,112.5873
08:48:05.239, 12,145.9292
08:48:08.375, 21,67.90022
08:48:10.138, 11,115.2593
08:48:13.178, 13,96.34585
08:48:17.201, 14,112.4099
08:48:19.983, 15,120.7616
08:48:20.305, 22,50.63699
08:48:22.657, 12,146.1296
08:48:23.510, 12,97.08257
08:48:29.270, 23,67.99913
08:48:29.427, 13,86.54994
08:48:29.961, 16,120.909
08:48:30.342, 13,135.6634
08:48:33.150, 14,126.229
08:48:33.498, 14,68.19664
08:48:36.186, 15,61.69238
08:48:36.666, 17,118.1163
08:48:38.178, 24,82.27927
08:48:40.510, 18,114.8193
08:48:40.846, 25,72.10674
08:48:41.288, 15,93.25183
08:48:45.585, 26,78.87027
08:48:50.327, 27,81.56774
08:48:54.084, 28,81.10088
08:48:58.299, 16,82.69598
08:49:02.347, 17,75.22005
08:49:03.125, 16,39.95541
08:49:05.815, 17,35.10582
08:49:06.522, 19,92.67545
08:49:07.965, 29,69.03754
08:49:12.718, 30,72.30293
08:49:14.015, 18,58.79387
08:49:18.757, 19,61.38662
08:49:22.778, 20,67.3207
08:49:27.234, 18,51.01514
08:49:30.748, 31,54.32419
08:49:31.217, 21,63.99046
08:49:35.274, 22,73.86734
08:49:39.583, 32,65.60751
08:49:43.713, 33,62.11681
08:49:46.896, 19,64.44774
