time,y1,y2
08:45:30.543, 45,8
08:45:33.486, 45,7
08:45:33.883, 3,2
08:45:35.655, 45,9
08:45:38.666, 3,3
08:45:42.632, 45,8
08:45:44.757, 45,10
08:45:45.888, 3,3
08:45:50.676, 3,3
08:45:51.768, 45,7
08:45:53.811, 45,7
08:45:57.895, 3,3
08:46:00.498, 45,6
08:46:02.456, 45,5
08:46:02.684, 3,3
08:46:08.876, 45,5
08:46:09.901, 3,3
08:46:10.003, 45,5
08:46:14.691, 3,3
08:46:16.715, 45,5
08:46:17.904, 45,5
08:46:21.907, 3,3
08:46:24.421, 45,5
08:46:26.696, 3,3
08:46:27.351, 45,5
08:46:33.913, 3,3
08:46:36.787, 45,5
08:46:38.700, 3,3
08:46:42.119, 45,4
08:46:45.924, 3,3
08:46:50.436, 45,4
08:46:50.712, 3,3
08:46:52.431, 45,4
08:46:57.929, 3,3
08:47:02.719, 3,3
08:47:04.747, 45,3
08:47:04.795, 45,3
08:47:09.936, 3,3
08:47:14.728, 3,3
08:47:17.027, 45,4
08:47:17.592, 45,3
08:47:21.940, 3,3
08:47:26.733, 3,3
08:47:33.946, 3,3
08:47:34.149, 45,3
08:47:34.377, 45,3
08:47:38.743, 3,3
08:47:43.462, 45,3
08:47:44.327, 45,3
08:47:45.962, 3,3
08:47:50.756, 3,3
08:47:53.272, 45,3
08:47:55.659, 45,3
08:47:57.967, 3,3
08:48:02.765, 3,3
08:48:06.921, 45,4
08:48:07.087, 45,4
08:48:09.977, 3,3
08:48:14.772, 3,3
08:48:17.557, 45,4
08:48:19.202, 45,4
08:48:21.987, 3,3
08:48:26.779, 3,3
08:48:27.075, 45,4
08:48:28.121, 45,4
08:48:34.008, 3,3
08:48:34.723, 45,4
08:48:35.408, 45,4
08:48:38.785, 3,3
08:48:39.213, 45,5
08:48:39.886, 45,5
08:48:44.593, 45,5
08:48:45.864, 45,5
08:48:46.017, 3,3
08:48:50.793, 3,3
08:48:50.990, 45,6
08:48:53.355, 45,6
08:48:58.025, 3,3
08:48:59.691, 45,6
08:49:01.817, 45,6
08:49:02.801, 3,3
08:49:09.091, 45,6
08:49:10.028, 3,3
08:49:12.262, 45,5
08:49:14.809, 3,3
08:49:18.598, 45,5
